ID,Latitude,Longitude
857,25.0,74.5
858,25.5,74.5
859,26.0,74.5
860,26.5,74.5
861,27.0,74.5
862,27.5,74.5
863,28.0,74.5
864,28.5,74.5
865,29.0,74.5
866,29.5,74.5
867,30.0,74.5
868,30.5,74.5
869,31.0,74.5
870,31.5,74.5
871,32.0,74.5
872,32.5,74.5
873,33.0,74.5
874,33.5,74.5
875,34.0,74.5
876,34.5,74.5
877,35.0,74.5
878,35.5,74.5
879,36.0,74.5
880,36.5,74.5
881,37.0,74.5
882,6.0,75.0
883,6.5,75.0
884,7.0,75.0
885,7.5,75.0
886,8.0,75.0
887,8.5,75.0
888,9.0,75.0
889,9.5,75.0
890,10.0,75.0
891,10.5,75.0
892,11.0,75.0
893,11.5,75.0
894,12.0,75.0
895,12.5,75.0
896,13.0,75.0
897,13.5,75.0
898,14.0,75.0
899,14.5,75.0
900,15.0,75.0
901,15.5,75.0
902,16.0,75.0
903,16.5,75.0
904,17.0,75.0
905,17.5,75.0
906,18.0,75.0
907,18.5,75.0
908,19.0,75.0
909,19.5,75.0
910,20.0,75.0
911,20.5,75.0
912,21.0,75.0
913,21.5,75.0
914,22.0,75.0
915,22.5,75.0
916,23.0,75.0
917,23.5,75.0
918,24.0,75.0
919,24.5,75.0
920,25.0,75.0
921,25.5,75.0
922,26.0,75.0
923,26.5,75.0
924,27.0,75.0
925,27.5,75.0
926,28.0,75.0
927,28.5,75.0
928,29.0,75.0
929,29.5,75.0
930,30.0,75.0
931,30.5,75.0
932,31.0,75.0
933,31.5,75.0
934,32.0,75.0
935,32.5,75.0
936,33.0,75.0
937,33.5,75.0
938,34.0,75.0
939,34.5,75.0
940,35.0,75.0
941,35.5,75.0
942,36.0,75.0
943,36.5,75.0
944,37.0,75.0
945,6.0,75.5
946,6.5,75.5
947,7.0,75.5
948,7.5,75.5
949,8.0,75.5
950,8.5,75.5
951,9.0,75.5
952,9.5,75.5
953,10.0,75.5
954,10.5,75.5
955,11.0,75.5
956,11.5,75.5
957,12.0,75.5
958,12.5,75.5
959,13.0,75.5
960,13.5,75.5
961,14.0,75.5
962,14.5,75.5
963,15.0,75.5
964,15.5,75.5
965,16.0,75.5
966,16.5,75.5
967,17.0,75.5
968,17.5,75.5
969,18.0,75.5
970,18.5,75.5
971,19.0,75.5
972,19.5,75.5
973,20.0,75.5
974,20.5,75.5
975,21.0,75.5
976,21.5,75.5
977,22.0,75.5
978,22.5,75.5
979,23.0,75.5
980,23.5,75.5
981,24.0,75.5
982,24.5,75.5
983,25.0,75.5
984,25.5,75.5
985,26.0,75.5
986,26.5,75.5
987,27.0,75.5
988,27.5,75.5
989,28.0,75.5
990,28.5,75.5
991,29.0,75.5
992,29.5,75.5
993,30.0,75.5
994,30.5,75.5
995,31.0,75.5
996,31.5,75.5
997,32.0,75.5
998,32.5,75.5
999,33.0,75.5
1000,33.5,75.5
1001,34.0,75.5
1002,34.5,75.5
1003,35.0,75.5
1004,35.5,75.5
1005,36.0,75.5
1006,36.5,75.5
1007,37.0,75.5
1008,6.0,76.0
1009,6.5,76.0
1010,7.0,76.0
1011,7.5,76.0
1012,8.0,76.0
1013,8.5,76.0
1014,9.0,76.0
1015,9.5,76.0
1016,10.0,76.0
1017,10.5,76.0
1018,11.0,76.0
1019,11.5,76.0
1020,12.0,76.0
1021,12.5,76.0
1022,13.0,76.0
1023,13.5,76.0
1024,14.0,76.0
1025,14.5,76.0
1026,15.0,76.0
1027,15.5,76.0
1028,16.0,76.0
1029,16.5,76.0
1030,17.0,76.0
1031,17.5,76.0
1032,18.0,76.0
1033,18.5,76.0
1034,19.0,76.0
1035,19.5,76.0
1036,20.0,76.0
1037,20.5,76.0
1038,21.0,76.0
1039,21.5,76.0
1040,22.0,76.0
1041,22.5,76.0
1042,23.0,76.0
1043,23.5,76.0
1044,24.0,76.0
1045,24.5,76.0
1046,25.0,76.0
1047,25.5,76.0
1048,26.0,76.0
1049,26.5,76.0
1050,27.0,76.0
1051,27.5,76.0
1052,28.0,76.0
1053,28.5,76.0
1054,29.0,76.0
1055,29.5,76.0
1056,30.0,76.0
1057,30.5,76.0
1058,31.0,76.0
1059,31.5,76.0
1060,32.0,76.0
1061,32.5,76.0
1062,33.0,76.0
1063,33.5,76.0
1064,34.0,76.0
1065,34.5,76.0
1066,35.0,76.0
1067,35.5,76.0
1068,36.0,76.0
1069,36.5,76.0
1070,37.0,76.0
